fdc_id,data_type,description,Protein (g),Total Fat (g),Carbohydrate (g),Energy (kcal),Fiber (g),Calcium (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Sugars (g)
2515376,foundation_food,"Peanuts, raw",23.205,43.28,26.498,0.0,8.014,49.13,179.7,635.6,1.493,0.0
2515377,foundation_food,"Flour, chestnut",5.28675,4.636,80.45025,0.0,8.711,55.81,68.75,1032.0,0.0,0.0
2515378,foundation_food,"Nuts, macadamia nuts, raw",7.7857,64.93,24.0943,0.0,7.563,52.71,106.8,372.6,0.0,0.0
2515379,foundation_food,"Nuts, pistachio nuts, raw",20.5057,45.02,27.6943,0.0,6.969,117.4,109.7,947.0,0.0,0.0
2515380,foundation_food,"Seeds, pumpkin seeds (pepitas), raw",29.9079,40.03,18.6751,0.0,5.079,37.38,499.7,691.2,0.0,0.0
2515381,foundation_food,"Seeds, sunflower seed, kernel, raw",18.8733,48.44,24.5007,0.0,7.215,115.6,301.9,656.8,0.0,0.0
2515382,foundation_food,"Flour, coconut",16.1385,15.28,58.9025,0.0,34.24,35.98,247.7,2088.0,46.94,0.0
2644281,foundation_food,"Beans, cannellini, dry",21.5625,2.199,59.7955,0.0,0.0,142.9,153.6,1424.0,0.0,0.0
2644282,foundation_food,"Chickpeas, (garbanzo beans, bengal gram), dry",21.275,6.274,60.358,0.0,0.0,111.1,134.8,1074.0,8.779,0.0
2644283,foundation_food,"Lentils, dry",23.56875,1.925,62.17125,0.0,0.0,61.85,106.7,948.9,0.0,0.0
2644284,foundation_food,"Blackeye pea, dry",21.225,2.419,61.836,0.0,0.0,71.4,183.9,1243.0,3.458,0.0
2644285,foundation_food,"Beans, black, canned, sodium added, drained and rinsed",6.9125,1.273,19.8135,0.0,0.0,43.31,32.54,253.1,217.9,0.0
2644286,foundation_food,"Beans, navy, canned, sodium added, drained and rinsed",6.56875,1.398,19.98325,0.0,0.0,63.91,29.56,183.7,190.1,0.0
2644287,foundation_food,"Beans, cannellini, canned, sodium added, drained and rinsed",7.4125,1.169,18.8185,0.0,0.0,69.19,29.29,202.6,164.0,0.0
2644288,foundation_food,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",7.01875,3.096,20.32025,0.0,0.0,40.48,28.41,136.8,201.7,0.0
2644289,foundation_food,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",7.8,1.256,21.03,0.0,0.0,56.94,29.31,226.9,172.3,0.0
2644290,foundation_food,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",7.30625,1.299,21.44675,0.0,0.0,60.25,25.49,209.4,158.5,0.0
2644291,foundation_food,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",4.734375,1.153,12.707625,0.0,0.0,28.21,21.91,109.2,207.4,0.0
2644292,foundation_food,"Beans, pinto, canned, sodium added, drained and rinsed",6.69375,1.266,19.60025,0.0,0.0,55.23,27.49,209.6,201.6,0.0
2644293,foundation_food,"Blackeye pea, canned, sodium added, drained and rinsed",6.925,1.296,19.1659,0.0,0.0,27.78,27.26,138.1,226.7,0.0
2644294,foundation_food,"Beans, great northern, canned, sodium added, drained and rinsed",7.03125,1.266,19.32875,0.0,0.0,67.16,29.3,213.1,223.1,0.0
2646168,foundation_food,"Pork, loin, boneless, raw",21.11875,9.469,0.0,0.0,0.0,4.111,21.96,361.2,40.2,0.0
2646169,foundation_food,"Pork, loin, tenderloin, boneless, raw",21.58125,3.899,0.0,0.0,0.0,4.528,24.66,397.4,41.39,0.0
2646170,foundation_food,"Chicken, breast, boneless, skinless, raw",22.525,1.934,0.0,0.0,0.0,3.939,26.2,330.1,65.75,0.0
2646171,foundation_food,"Chicken, thigh, boneless, skinless, raw",18.6125,7.916,0.0,0.0,0.0,5.65,21.8,271.8,62.33,0.0
2646172,foundation_food,"Beef, ribeye, steak, boneless, choice, raw",18.74375,20.04,0.0,0.0,0.0,4.173,16.68,288.0,42.54,0.0
2646173,foundation_food,"Beef, round, top round, boneless, choice, raw",21.475,5.703,0.852,0.0,0.0,4.07,22.08,351.5,45.54,0.0
2646174,foundation_food,"Beef, chuck, roast, boneless, choice, raw",18.4,17.8,0.0,0.0,0.0,4.576,16.99,281.1,48.44,0.0
2646175,foundation_food,"Beef, flank, steak, boneless, choice, raw",20.13125,9.399,0.0,0.0,0.0,3.836,18.86,331.8,51.3,0.0
2647437,foundation_food,"Yogurt, plain, nonfat",4.22675,0.0875,8.07675,0.0,0.0,167.4,15.21,210.5,51.48,0.0
2647438,foundation_food,"Cheese, monterey jack, solid",22.6171,32.63,1.8979,0.0,0.0,714.6,29.6,82.94,662.2,0.0
2647439,foundation_food,"Cheese, pasteurized process cheese food or product, American, singles",15.5672,23.86,8.1898,0.0,0.0,1498.0,34.6,211.8,1420.0,0.0
2647440,foundation_food,"Cheese, provolone, sliced",23.45288,28.13,2.45312,0.0,0.0,748.8,29.5,94.84,600.9,0.0
2647441,foundation_food,"Cheese, oaxaca, solid",22.14498,22.1,2.40202,0.0,0.0,532.3,21.58,80.73,734.2,0.0
2647442,foundation_food,"Cheese, queso fresco, solid",18.8848,23.36,2.9572,0.0,0.0,601.8,27.64,126.4,626.5,0.0
2647443,foundation_food,"Cheese, cotija, solid",23.83568,27.24,2.72432,0.0,0.0,699.6,29.9,116.7,1625.0,0.0
2684440,foundation_food,"Fish, salmon, sockeye, wild caught, raw",22.3,4.936,0.0,0.0,0.0,14.84,26.15,329.7,53.3,0.0
2684441,foundation_food,"Fish, salmon, Atlantic, farm raised, raw",20.31875,13.11,0.0,0.0,0.0,9.423,25.39,378.2,49.49,0.0
2684442,foundation_food,"Fish, tilapia, farm raised, raw",19.0,2.479,0.0,0.0,0.0,8.628,24.28,342.4,93.66,0.0
2684443,foundation_food,"Crustaceans, shrimp, farm raised, raw",15.56875,0.8013,0.48495,0.0,0.0,64.63,22.53,145.9,474.9,0.0
2684444,foundation_food,"Fish, cod, Atlantic, wild caught, raw",16.06875,0.6675,0.0,0.0,0.0,6.59,17.98,245.1,298.8,0.0
2684445,foundation_food,"Fish, catfish, farm raised, raw",16.46875,7.308,0.0,0.0,0.0,7.796,20.63,292.3,60.51,0.0
2684446,foundation_food,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",18.65,0.8075,0.0,0.0,0.0,110.9,43.08,234.8,331.3,0.0
2685568,foundation_food,"Squash, summer, green, zucchini, includes skin, raw",0.984375,0.205,3.27,0.0,0.7525,20.85,15.29,225.8,0.0,0.0
2685569,foundation_food,"Squash, summer, yellow, includes skin, raw",0.890625,0.135,4.39,0.0,0.9563,22.69,16.84,220.5,0.0,0.0
2685570,foundation_food,"Squash, winter, butternut, raw",1.14875,0.1675,10.50745,0.0,1.959,21.74,14.95,329.1,0.0,0.0
2685571,foundation_food,"Squash, winter, acorn, raw",1.25,0.1825,10.48,0.0,2.635,24.82,23.75,332.1,0.0,0.0
2685572,foundation_food,"Cabbage, bok choy, raw",1.02375,0.2338,3.51495,0.0,1.259,61.93,13.64,227.8,14.27,0.0
2685573,foundation_food,"Cauliflower, raw",1.640625,0.2375,4.723075,0.0,1.948,20.35,14.2,274.4,20.0,0.0
2685574,foundation_food,"Collards, raw",2.96875,0.77,7.02225,0.0,3.816,276.4,49.51,409.8,18.41,0.0
2685575,foundation_food,"Brussels sprouts, raw",3.984375,0.565,9.615625,0.0,4.785,38.64,25.0,476.8,25.74,0.0
2685576,foundation_food,"Beets, raw",1.6875,0.3025,8.787,0.0,3.119,13.82,21.01,341.5,111.6,0.0
2685577,foundation_food,"Eggplant, raw",0.851875,0.12,5.399325,0.0,2.448,11.06,13.54,222.1,0.4425,0.0
2685578,foundation_food,"Tomatoes, whole, canned, solids and liquids, with salt added",0.8675,0.2063,4.2874,0.0,0.8725,19.83,10.75,202.9,111.5,0.0
2685579,foundation_food,"Tomato, sauce, canned, with salt added",1.351875,0.3825,6.331625,0.0,1.636,17.1,18.73,355.5,416.9,0.0
2685580,foundation_food,"Tomato, paste, canned, without salt added",4.234375,0.7325,20.188125,0.0,4.704,36.85,49.61,971.6,61.15,0.0
2685581,foundation_food,"Tomatoes, crushed, canned",1.4375,0.3975,7.137,0.0,1.944,19.2,18.64,345.6,139.8,0.0
